# {"t_start": 1618171217.4182322, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,9.465697
-50.0,50,14.510852
-50.0,50,18.537617
-50.0,50,22.944401
-50.0,50,27.791944
-50.0,50,32.983516
-50.0,50,37.874925
-50.0,50,42.964043
-50.0,50,48.261256
-50.0,50,54.110935
-50.0,50,59.485598
-50.0,50,64.965772
-50.0,50,70.50041
-50.0,50,76.066125
-50.0,50,81.447742
-50.0,50,86.746176
0.0,50,92.205076
0.0,50,97.51301
-50.0,50,103.496891
-50.0,50,109.095762
-50.0,50,114.478457
-50.0,50,120.007455
-50.0,50,124.665614
-50.0,50,129.279523
0.0,50,133.661478
-50.0,50,138.111747
-50.0,50,142.47025
-50.0,50,146.532382
-50.0,50,150.98699
-50.0,50,155.461397
-50.0,50,159.738492
-50.0,50,163.985715
-50.0,50,168.333626
-50.0,50,172.663591
-50.0,50,177.105088
-50.0,50,181.688179
-50.0,50,185.673007
-50.0,50,189.781039
-50.0,50,193.963366
-50.0,50,198.076006
-50.0,50,202.11359
-50.0,50,206.357984
-50.0,50,210.401549
-50.0,50,214.793468
-50.0,50,218.7477
-50.0,50,222.919527
-50.0,50,227.216569
-50.0,50,231.392031
-50.0,50,235.645
-50.0,50,240.218404
-50.0,50,244.483744
-50.0,50,244.76917
-50.0,50,245.07249
-50.0,50,245.34552
-50.0,50,245.624915
-50.0,50,245.89841
0.0,50,246.229141
-50.0,50,246.521975
-50.0,50,246.831089
-50.0,50,247.111942
-50.0,50,247.61206
-50.0,50,251.703825
-50.0,50,255.863249
-50.0,50,260.175456
-50.0,50,264.457677
-50.0,50,268.603396
-50.0,50,272.792142
-50.0,50,276.855881
-50.0,50,281.079716
-50.0,50,285.357888
-50.0,50,289.717113
-50.0,50,293.962717
-50.0,50,297.957845
-50.0,50,301.985976
-50.0,50,306.038317
-50.0,50,310.224065
-50.0,50,314.352349
-50.0,50,318.565368
-50.0,50,322.768228
-50.0,50,326.866378
-50.0,50,330.879402
-50.0,50,334.818339
-50.0,50,338.637155
-50.0,50,342.712441
-50.0,50,346.751228
0.0,50,351.034875
-50.0,50,355.222777
-50.0,50,359.118391
-50.0,50,362.95435
-50.0,50,367.562489
-50.0,50,371.419845
-50.0,50,375.448403
-50.0,50,379.400253
-50.0,50,383.431755
-50.0,50,387.487336
-50.0,50,391.404542
-50.0,50,395.692662
-50.0,50,400.477273
-50.0,50,406.011699
0.0,50,413.042881
-50.0,50,418.45589
