# {"t_start": 1618171205.852131, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,21.03494
-50.0,50,26.103543
-50.0,50,30.079225
-50.0,50,34.522963
-50.0,50,39.349759
-50.0,50,44.595607
-50.0,50,49.41468
-50.0,50,54.491733
-50.0,50,59.834325
-50.0,50,65.669837
-50.0,50,71.011483
-50.0,50,76.642846
-50.0,50,82.035259
-50.0,50,87.624
-50.0,50,93.032637
-50.0,50,98.313719
-50.0,50,103.775769
0.0,50,109.119505
-50.0,50,115.02687
-50.0,50,120.586759
-50.0,50,126.04199
-50.0,50,131.558548
-50.0,50,136.19826
-48.0,50,140.836979
-50.0,50,145.243343
-50.0,50,149.675693
-50.0,50,154.034729
-50.0,50,158.098737
-50.0,50,162.589221
-50.0,50,167.025959
-50.0,50,171.282085
-50.0,50,175.569944
-50.0,50,179.892925
-50.0,50,184.245018
-50.0,50,188.674443
-50.0,50,193.24141
-50.0,50,197.249804
-50.0,50,201.336383
-50.0,50,205.520015
-50.0,50,209.622898
-50.0,50,213.670144
-50.0,50,217.922904
-50.0,50,221.930571
-50.0,50,226.402692
-50.0,50,230.344603
-50.0,50,234.46518
-50.0,50,238.783965
-50.0,50,242.949621
-50.0,50,247.190804
-50.0,50,251.813448
-50.0,50,256.04749
-50.0,50,256.335285
-50.0,50,256.633784
-50.0,50,256.893356
-50.0,50,257.173547
-50.0,50,257.474819
-50.0,50,257.770935
-50.0,50,258.063526
-50.0,50,258.35268
-50.0,50,258.647931
-50.0,50,259.189609
0.0,50,263.265542
-50.0,50,267.4303
-50.0,50,271.749844
-50.0,50,276.004099
-50.0,50,280.178501
-50.0,50,284.358036
-50.0,50,288.439489
-50.0,50,292.632104
-50.0,50,296.944258
0.0,50,301.290421
-50.0,50,305.49799
-50.0,50,309.513885
-50.0,50,313.550768
-50.0,50,317.617225
-50.0,50,321.815339
-50.0,50,325.913013
-50.0,50,330.125682
-50.0,50,334.313224
-50.0,50,338.412212
-50.0,50,342.480317
-50.0,50,346.375271
-50.0,50,350.197299
-50.0,50,354.289903
-50.0,50,358.323445
-50.0,50,362.593886
-50.0,50,366.837722
-50.0,50,370.648993
-50.0,50,374.507189
-50.0,50,379.123356
-50.0,50,382.992986
-50.0,50,387.015666
-50.0,50,390.967308
0.0,50,395.006946
-50.0,50,399.049483
-50.0,50,402.955377
-50.0,50,407.224826
-50.0,50,412.045906
-50.0,50,417.605506
-50.0,50,424.605856
-50.0,50,429.893936
-50.0,50,435.672697
-50.0,50,441.526645
-50.0,50,448.097071
-50.0,50,454.534655
-50.0,50,459.852046
-50.0,50,465.769789
-50.0,50,469.683678
-50.0,50,473.428634
-50.0,50,477.181916
-50.0,50,481.476928
-50.0,50,481.759537
-50.0,50,482.049268
-50.0,50,482.37372
-50.0,50,482.756903
-50.0,50,483.093533
-50.0,50,483.447293
-50.0,50,483.787986
-50.0,50,484.124441
-50.0,50,484.459977
-50.0,50,484.940251
-50.0,50,488.687664
-50.0,50,492.640048
-50.0,50,496.946946
-50.0,50,500.996953
-50.0,50,504.972626
-50.0,50,509.121477
-50.0,50,513.550601
-50.0,50,517.642192
-50.0,50,521.621869
-50.0,50,525.431545
-50.0,50,529.694341
-50.0,50,533.931637
-50.0,50,537.969637
-50.0,50,541.947157
-50.0,50,545.831099
-50.0,50,550.151784
-50.0,50,554.202357
-50.0,50,558.331781
-50.0,50,562.195181
-50.0,50,565.965541
-50.0,50,569.961207
-50.0,50,574.130856
-50.0,50,578.067279
-50.0,50,582.190969
-50.0,50,586.532192
-50.0,50,590.584642
-50.0,50,594.63613
-50.0,50,598.965506
-50.0,50,603.059447
-50.0,50,607.181451
-50.0,50,611.153323
-50.0,50,615.096119
-50.0,50,619.161896
-50.0,50,622.961087
-50.0,50,627.01259
-50.0,50,630.709476
-50.0,50,634.809851
-50.0,50,639.003291
-50.0,50,643.224437
-50.0,50,647.064171
-50.0,50,650.998452
-50.0,50,655.150108
-50.0,50,659.174752
-50.0,50,663.046922
-50.0,50,667.005767
-50.0,50,671.522265
-50.0,50,675.570285
-50.0,50,679.427467
-50.0,50,683.27457
-50.0,50,687.196923
-50.0,50,687.546327
-50.0,50,687.906716
-50.0,50,688.265197
-50.0,50,688.659178
-50.0,50,689.011206
-50.0,50,689.354905
-50.0,50,689.706463
-50.0,50,690.05475
-50.0,50,690.401055
-50.0,50,690.875793
0.0,50,694.530906
-50.0,50,698.305117
-50.0,50,702.379404
-50.0,50,706.427844
-50.0,50,710.276198
-50.0,50,714.21607
-50.0,50,718.034168
-50.0,50,722.055144
-50.0,50,726.244999
0.0,50,730.39408
-50.0,50,734.393422
-50.0,50,738.519923
-50.0,50,742.734491
-50.0,50,746.907889
-50.0,50,751.059192
-50.0,50,755.312809
-50.0,50,759.661332
-50.0,50,764.016972
-50.0,50,768.732542
-50.0,50,772.917526
-50.0,50,776.885895
-50.0,50,781.148766
-50.0,50,785.570551
-50.0,50,790.285825
-50.0,50,794.983646
-50.0,50,799.19024
-50.0,50,802.798897
-50.0,50,806.800157
-50.0,50,810.840346
0.0,50,815.071477
-50.0,50,819.12553
-50.0,50,823.5699
-50.0,50,827.706977
-50.0,50,831.758704
-50.0,50,835.720554
-50.0,50,839.937418
-50.0,50,843.56934
-50.0,50,847.364541
-50.0,50,851.653943
-50.0,50,855.309067
-50.0,50,859.266045
-50.0,50,863.285216
-50.0,50,867.021158
-50.0,50,870.754246
-50.0,50,874.418057
-50.0,50,878.19154
0.0,50,882.329571
