# {"t_start": 1618171216.6824546, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,10.216194
-50.0,50,15.290595
0.0,50,19.274787
-50.0,50,23.678154
-50.0,50,28.508405
-50.0,50,33.757102
-50.0,50,38.595244
-50.0,50,43.656675
-50.0,50,49.008167
-50.0,50,54.821924
-50.0,50,60.166426
-50.0,50,65.679279
-50.0,50,71.25039
-50.0,50,76.767058
-50.0,50,82.201473
-50.0,50,87.4614
-50.0,50,92.990098
-50.0,50,98.296214
-50.0,50,104.262798
-50.0,50,109.78526
-50.0,50,115.196285
-50.0,50,120.711741
-50.0,50,125.375588
-50.0,50,129.992898
-50.0,50,134.384972
-50.0,50,138.872839
-50.0,50,143.206511
-50.0,50,147.265371
-50.0,50,151.754108
-50.0,50,156.187927
-50.0,50,160.464333
-50.0,50,164.72208
-50.0,50,169.066499
-50.0,50,173.384221
-50.0,50,177.868111
-50.0,50,182.429423
-50.0,50,186.413143
-50.0,50,190.509047
-50.0,50,194.786421
-50.0,50,198.787206
-50.0,50,202.851776
-50.0,50,207.091368
-50.0,50,211.143771
-50.0,50,215.569951
-50.0,50,219.486265
-50.0,50,223.646426
-50.0,50,227.972262
-50.0,50,232.106421
-50.0,50,236.394898
-50.0,50,240.95152
-50.0,50,245.241827
-50.0,50,245.529871
-50.0,50,245.82682
-50.0,50,246.119051
-50.0,50,246.425475
-50.0,50,246.720104
-50.0,50,247.021682
-50.0,50,247.308546
-50.0,50,247.606319
-50.0,50,247.882252
-50.0,50,248.366227
-50.0,50,252.424912
-50.0,50,256.598525
-50.0,50,260.935258
-50.0,50,265.183865
-50.0,50,269.404156
-50.0,50,273.544084
-50.0,50,277.572852
-50.0,50,281.791452
-50.0,50,286.098153
-50.0,50,290.471227
-50.0,50,294.689368
0.0,50,298.674796
-50.0,50,302.74416
-50.0,50,306.76646
-50.0,50,310.93996
-50.0,50,315.061805
-50.0,50,319.303469
-50.0,50,323.498765
0.0,50,327.556331
0.0,50,331.65177
-50.0,50,335.580949
-50.0,50,339.380236
-50.0,50,343.445132
-50.0,50,347.482671
-45.0,50,351.81764
-50.0,50,355.953165
-50.0,50,359.823584
-50.0,50,363.687731
-50.0,50,368.295417
-50.0,50,372.163262
-50.0,50,376.179709
0.0,50,380.178891
-50.0,50,384.154147
-50.0,50,388.191062
-50.0,50,392.129247
-50.0,50,396.347879
-50.0,50,401.25129
-50.0,50,406.742922
-50.0,50,413.751373
-50.0,50,419.063651
0.0,50,424.80592
-50.0,50,430.682772
-50.0,50,437.261936
-50.0,50,443.530735
-50.0,50,449.141187
-50.0,50,454.947145
-50.0,50,458.926279
-50.0,50,462.586099
-50.0,50,466.355329
-50.0,50,470.642717
-50.0,50,470.926068
-50.0,50,471.233818
-50.0,50,471.571458
-50.0,50,471.944888
-50.0,50,472.296317
-50.0,50,472.669632
-50.0,50,472.991282
-50.0,50,473.355332
-50.0,50,473.680794
-50.0,50,474.135047
-50.0,50,477.879878
-50.0,50,481.788917
-50.0,50,486.10156
-50.0,50,490.181656
-50.0,50,494.140823
-50.0,50,498.284015
-50.0,50,502.716746
-50.0,50,506.788128
-50.0,50,510.839045
-50.0,50,514.621876
-50.0,50,518.848184
-50.0,50,523.143167
-50.0,50,527.146695
-50.0,50,531.116684
0.0,50,535.015588
-50.0,50,539.322101
-50.0,50,543.381293
-50.0,50,547.50064
-50.0,50,551.319102
-50.0,50,555.165822
-50.0,50,559.162018
-50.0,50,563.290821
-50.0,50,567.245122
-50.0,50,571.353996
-50.0,50,575.693415
-50.0,50,579.766062
-50.0,50,583.80797
-50.0,50,588.144651
-50.0,50,592.227949
-50.0,50,596.379585
-50.0,50,600.305342
-50.0,50,604.270051
-50.0,50,608.341854
-50.0,50,612.113019
-50.0,50,616.153038
-50.0,50,619.849539
-50.0,50,623.999049
0.0,50,628.187635
-50.0,50,632.404133
-50.0,50,636.164291
-50.0,50,640.180339
-50.0,50,644.314747
0.0,50,648.314894
-50.0,50,652.232668
-50.0,50,656.166897
-50.0,50,660.596638
-50.0,50,664.734879
-50.0,50,668.568183
-50.0,50,672.513472
-50.0,50,676.376454
-50.0,50,676.736833
-50.0,50,677.219036
-50.0,50,677.571711
-50.0,50,677.927765
-50.0,50,678.260047
-50.0,50,678.614121
-50.0,50,678.945724
-50.0,50,679.275533
-50.0,50,679.594428
-50.0,50,680.029607
-50.0,50,683.661417
-50.0,50,687.454833
-50.0,50,691.551218
-50.0,50,695.589223
-50.0,50,699.483431
-50.0,50,703.371464
-50.0,50,707.210624
-50.0,50,711.198773
-50.0,50,715.44727
-50.0,50,719.578662
-50.0,50,723.579571
-50.0,50,727.680255
-50.0,50,731.95047
-50.0,50,736.067192
-50.0,50,740.196511
-50.0,50,744.488423
-50.0,50,748.765224
-50.0,50,753.18694
-50.0,50,757.859767
-50.0,50,762.097215
-50.0,50,766.085902
-50.0,50,770.278303
-50.0,50,774.712734
-50.0,50,779.431205
-50.0,50,784.166707
-50.0,50,788.416548
-50.0,50,791.9706
-50.0,50,795.980733
-50.0,50,800.006521
-50.0,50,804.229693
-50.0,50,808.276392
-50.0,50,812.7091
-50.0,50,816.876262
-50.0,50,820.948892
-50.0,50,824.923846
-50.0,50,829.057356
-50.0,50,832.721455
-50.0,50,836.536608
-50.0,50,840.79888
-50.0,50,844.467716
-50.0,50,848.448815
0.0,50,852.495187
-50.0,50,856.187114
-50.0,50,859.949187
-50.0,50,863.585101
-50.0,50,867.377116
-50.0,50,871.460654
-50.0,50,875.558055
-50.0,50,879.284752
-50.0,50,883.285206
-50.0,50,883.693498
-50.0,50,884.051581
-50.0,50,884.421501
-50.0,50,884.783531
-50.0,50,885.096765
-50.0,50,885.44764
-50.0,50,885.802792
-50.0,50,886.148282
-50.0,50,886.484634
-50.0,50,887.096961
-50.0,50,891.176106
-50.0,50,895.161581
-50.0,50,899.267759
-50.0,50,903.344213
-50.0,50,907.262109
-50.0,50,911.499028
-50.0,50,915.576627
-50.0,50,919.274123
-50.0,50,923.323305
-50.0,50,927.063628
-50.0,50,931.178167
-50.0,50,935.259011
-50.0,50,939.442195
-50.0,50,943.738703
-50.0,50,947.815525
-50.0,50,951.84158
-50.0,50,956.026443
-50.0,50,959.984412
-50.0,50,963.913538
-50.0,50,968.020201
-50.0,50,972.03159
-50.0,50,975.738334
0.0,50,979.848411
-50.0,50,984.637141
-50.0,50,988.984054
-50.0,50,993.448178
-50.0,50,997.643717
0.0,50,1001.989158
-50.0,50,1007.10603
-50.0,50,1014.702729
-50.0,50,1023.915465
-50.0,50,1031.162606
-50.0,50,1037.020895
-50.0,50,1042.330219
-50.0,50,1048.002117
-50.0,50,1053.981362
-50.0,50,1059.969239
-50.0,50,1065.491333
-50.0,50,1071.475429
-50.0,50,1076.969158
-50.0,50,1083.052673
0.0,50,1088.61468
-50.0,50,1094.087908
-50.0,50,1099.189222
-50.0,50,1104.259061
-50.0,50,1109.650329
-50.0,50,1114.982345
-50.0,50,1120.722814
-50.0,50,1125.926773
-50.0,50,1131.252181
-50.0,50,1131.656933
-50.0,50,1132.073557
-50.0,50,1132.470045
-50.0,50,1133.034633
0.0,50,1133.442921
-50.0,50,1133.887452
-50.0,50,1134.323084
-50.0,50,1134.740551
-50.0,50,1135.142089
-50.0,50,1136.205569
-50.0,50,1141.874107
-50.0,50,1147.252954
-50.0,50,1152.67732
-50.0,50,1157.60499
-50.0,50,1162.869685
-50.0,50,1168.009071
0.0,50,1173.361276
-50.0,50,1178.751315
-50.0,50,1183.93729
-50.0,50,1189.040916
-50.0,50,1194.324359
-50.0,50,1199.7846
-50.0,50,1205.0716
-50.0,50,1210.577397
-50.0,50,1215.874817
-50.0,50,1221.274931
-50.0,50,1226.221253
-50.0,50,1231.557618
-50.0,50,1237.010234
-50.0,50,1242.685353
-50.0,50,1248.864388
-50.0,50,1254.396023
-50.0,50,1259.496128
-50.0,50,1264.911373
-50.0,50,1270.446676
-50.0,50,1275.738248
-50.0,50,1281.177971
-50.0,50,1286.433064
-50.0,50,1291.368371
0.0,50,1296.719625
-50.0,50,1302.348865
-50.0,50,1307.765002
-50.0,50,1313.253533
-50.0,50,1318.717851
-50.0,50,1324.157746
-50.0,50,1329.543764
-50.0,50,1334.773955
-50.0,50,1340.225062
-50.0,50,1345.744502
-50.0,50,1351.220214
-50.0,50,1357.965544
-50.0,50,1363.703571
-50.0,50,1369.391217
-50.0,50,1374.897499
-50.0,50,1380.402839
-50.0,50,1386.042939
-50.0,50,1391.641052
-50.0,50,1397.259004
-50.0,50,1402.609954
-50.0,50,1408.107754
-50.0,50,1408.650268
-50.0,50,1409.141616
-50.0,50,1410.043628
-48.0,50,1410.646454
-50.0,50,1411.208505
-50.0,50,1411.615232
-27.0,50,1412.118106
-50.0,50,1412.520285
-50.0,50,1413.030654
-50.0,50,1413.504794
-50.0,50,1418.979154
-50.0,50,1424.509594
-50.0,50,1429.970309
0.0,50,1435.406769
-50.0,50,1440.85543
-50.0,50,1446.212893
-50.0,50,1451.249408
-50.0,50,1456.945559
-50.0,50,1461.91507
-50.0,50,1467.363547
-50.0,50,1472.552621
-50.0,50,1478.117799
-50.0,50,1483.437129
-50.0,50,1488.67689
-50.0,50,1494.03313
-50.0,50,1499.433492
-50.0,50,1504.937349
-50.0,50,1510.330223
-50.0,50,1515.867125
-50.0,50,1521.223425
-50.0,50,1526.486135
-38.0,50,1531.881341
-50.0,50,1537.503046
-50.0,50,1543.020591
-50.0,50,1548.713617
-50.0,50,1554.066119
-48.0,50,1559.470436
-50.0,50,1564.46062
-50.0,50,1569.826487
-50.0,50,1575.258241
-50.0,50,1580.880838
-50.0,50,1586.291307
-50.0,50,1591.816218
-50.0,50,1597.300052
-50.0,50,1602.674181
-50.0,50,1608.035772
-50.0,50,1613.344523
-50.0,50,1618.756658
-50.0,50,1624.55208
-50.0,50,1629.847234
-50.0,50,1634.970947
-50.0,50,1640.453666
-50.0,50,1645.983876
-50.0,50,1651.033025
-50.0,50,1656.744543
-50.0,50,1662.221244
-50.0,50,1667.686015
0.0,50,1673.668845
-50.0,50,1680.35927
-50.0,50,1686.299415
-50.0,50,1686.814568
-50.0,50,1687.375942
-50.0,50,1687.847168
0.0,50,1688.320911
-50.0,50,1688.809802
-50.0,50,1689.304252
-50.0,50,1689.73881
-50.0,50,1690.149532
-50.0,50,1690.625448
-50.0,50,1691.372943
-50.0,50,1696.644722
-50.0,50,1701.456865
-50.0,50,1706.729559
-50.0,50,1711.559463
-50.0,50,1716.774982
-50.0,50,1722.771852
-21.0,50,1728.753615
-50.0,50,1734.749473
-50.0,50,1740.762292
-50.0,50,1746.289002
-50.0,50,1752.028563
-50.0,50,1757.455759
-50.0,50,1763.604442
-50.0,50,1769.087714
-50.0,50,1774.674963
-50.0,50,1780.147485
-50.0,50,1785.521108
-50.0,50,1790.953443
-50.0,50,1796.433794
-50.0,50,1801.80512
-50.0,50,1807.293375
-50.0,50,1812.595583
-50.0,50,1818.247394
-50.0,50,1823.884372
-50.0,50,1829.191079
-50.0,50,1834.276978
-50.0,50,1839.296846
-50.0,50,1844.584417
-50.0,50,1849.755602
-50.0,50,1855.3926
-47.0,50,1860.729819
-50.0,50,1865.990808
-50.0,50,1871.491144
-50.0,50,1876.677429
-8.0,50,1882.368235
-50.0,50,1887.598123
-50.0,50,1892.607473
-50.0,50,1898.050047
-50.0,50,1903.364362
-50.0,50,1908.705879
-50.0,50,1914.377371
-50.0,50,1919.970782
-50.0,50,1925.142272
-50.0,50,1930.33854
-50.0,50,1935.726564
-50.0,50,1941.330482
-50.0,50,1947.362177
-50.0,50,1952.514127
-50.0,50,1958.190624
-50.0,50,1963.616255
-50.0,50,1964.072209
-50.0,50,1964.525016
-50.0,50,1964.980982
-50.0,50,1965.399411
-28.0,50,1966.022214
-50.0,50,1966.474153
-50.0,50,1966.961137
-50.0,50,1967.522655
-50.0,50,1968.021466
-50.0,50,1968.721391
-41.0,50,1974.298858
-50.0,50,1979.625991
-50.0,50,1984.998832
-50.0,50,1990.49599
-50.0,50,1995.838668
-50.0,50,2000.650564
-50.0,50,2006.23192
-50.0,50,2011.425839
-10.0,50,2016.794356
-50.0,50,2021.948028
-50.0,50,2027.057142
-14.0,50,2032.508729
-50.0,50,2037.972116
-25.0,50,2043.133796
-50.0,50,2048.688263
-50.0,50,2057.027076
-50.0,50,2061.688559
-50.0,50,2066.268541
-50.0,50,2070.629322
-50.0,50,2074.893186
-50.0,50,2079.256643
-50.0,50,2082.982902
-50.0,50,2087.402558
-50.0,50,2091.600198
-50.0,50,2096.145696
-50.0,50,2101.584957
-50.0,50,2106.679635
-50.0,50,2111.203621
-50.0,50,2115.24842
-50.0,50,2119.557111
-50.0,50,2123.836936
-50.0,50,2128.299972
-50.0,50,2132.554419
-50.0,50,2137.122751
-50.0,50,2141.53106
-50.0,50,2145.841235
-50.0,50,2150.403033
-50.0,50,2155.20726
-50.0,50,2159.761992
-50.0,50,2164.493737
-50.0,50,2169.069794
-50.0,50,2173.421504
