# {"t_start": 1618171197.1020422, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,29.810544
-50.0,50,34.872063
-50.0,50,38.816413
-50.0,50,43.277681
-50.0,50,48.067734
-50.0,50,53.311055
-50.0,50,58.126248
-21.0,50,63.267917
-50.0,50,68.600686
-50.0,50,74.44523
-50.0,50,79.754646
-50.0,50,85.330224
-50.0,50,90.813766
-50.0,50,96.359205
-50.0,50,101.766501
-50.0,50,107.024863
-50.0,50,112.576458
-50.0,50,117.824393
-50.0,50,123.834149
-50.0,50,129.333909
-50.0,50,134.755932
-50.0,50,140.298904
-50.0,50,144.960375
-50.0,50,149.587205
-50.0,50,153.984303
-50.0,50,158.424497
-50.0,50,162.774111
-50.0,50,166.838671
-50.0,50,171.323755
-50.0,50,175.792026
-50.0,50,180.023534
-50.0,50,184.291364
-50.0,50,188.627091
-50.0,50,192.976772
-50.0,50,197.412671
-50.0,50,202.014877
-50.0,50,206.027657
-50.0,50,210.110669
-50.0,50,214.277479
-50.0,50,218.370537
-7.0,50,222.449684
-50.0,50,226.667141
0.0,50,230.687146
-50.0,50,235.135463
-50.0,50,239.073444
-50.0,50,243.242218
-50.0,50,247.528485
-50.0,50,251.694509
-50.0,50,255.948483
-50.0,50,260.562953
-50.0,50,264.818213
-50.0,50,265.115947
-50.0,50,265.412396
-50.0,50,265.699873
0.0,50,265.98187
-50.0,50,266.269452
-50.0,50,266.579813
-50.0,50,266.863259
-50.0,50,267.154019
-50.0,50,267.442661
0.0,50,267.929371
-50.0,50,272.02048
-29.0,50,276.195151
-50.0,50,280.49377
-50.0,50,284.758418
-50.0,50,288.948323
-50.0,50,293.134081
-50.0,50,297.161991
-50.0,50,301.386395
-50.0,50,305.665095
-50.0,50,310.032526
-50.0,50,314.243269
-50.0,50,318.27287
-50.0,50,322.312719
-50.0,50,326.372983
-50.0,50,330.51762
-50.0,50,334.669168
-50.0,50,338.868943
-50.0,50,343.077834
-50.0,50,347.210929
-50.0,50,351.19218
0.0,50,355.141283
-50.0,50,358.965337
-50.0,50,363.017245
-50.0,50,367.066581
-50.0,50,371.36045
-50.0,50,375.54631
-50.0,50,379.430123
-50.0,50,383.271918
-50.0,50,387.869398
-50.0,50,391.742224
-50.0,50,395.75962
-50.0,50,399.740893
-50.0,50,403.760482
-50.0,50,407.767174
-50.0,50,411.730472
-50.0,50,415.929922
-50.0,50,420.820668
-50.0,50,426.345525
-50.0,50,433.358947
-50.0,50,438.631434
-50.0,50,444.435496
-50.0,50,450.211834
-50.0,50,456.780364
-50.0,50,463.076494
-50.0,50,468.614445
0.0,50,474.577267
-50.0,50,478.433335
-50.0,50,482.173825
-50.0,50,485.944852
-50.0,50,490.244262
-50.0,50,490.552715
-50.0,50,490.833811
0.0,50,491.139197
-50.0,50,491.537427
-50.0,50,491.905788
-50.0,50,492.255537
-50.0,50,492.605066
-50.0,50,492.944178
-50.0,50,493.295774
-50.0,50,493.660517
-50.0,50,497.423181
-50.0,50,501.381553
-50.0,50,505.706466
-50.0,50,509.768486
-50.0,50,513.732351
-50.0,50,517.87295
-50.0,50,522.312586
-50.0,50,526.401534
-50.0,50,530.358093
-50.0,50,534.205946
-50.0,50,538.414798
0.0,50,542.697347
-50.0,50,546.725376
0.0,50,550.751333
-50.0,50,554.595793
-50.0,50,558.906284
-50.0,50,562.961876
-50.0,50,567.09772
-50.0,50,570.930096
-50.0,50,574.750247
-50.0,50,578.708146
-50.0,50,582.876995
-50.0,50,586.814466
-50.0,50,590.943275
-50.0,50,595.252818
-50.0,50,599.341868
-50.0,50,603.355805
-50.0,50,607.739683
-50.0,50,611.812186
-50.0,50,615.949945
-50.0,50,619.895275
-50.0,50,623.836618
-50.0,50,627.964973
-50.0,50,631.71201
-50.0,50,635.767266
-50.0,50,639.452507
-50.0,50,643.540096
-50.0,50,647.767995
-50.0,50,651.9688
-50.0,50,655.768497
-50.0,50,659.757365
-50.0,50,663.895254
-50.0,50,667.930647
-50.0,50,671.782498
-50.0,50,675.758381
-50.0,50,680.194661
-50.0,50,684.317074
-50.0,50,688.149484
-50.0,50,692.075074
-50.0,50,695.941148
0.0,50,696.272268
-50.0,50,696.675022
-50.0,50,697.019464
-50.0,50,697.472359
0.0,50,697.840736
-50.0,50,698.202044
-50.0,50,698.598298
-50.0,50,698.952526
-50.0,50,699.263982
-50.0,50,699.62631
-50.0,50,703.270556
0.0,50,707.093302
-50.0,50,711.125259
-50.0,50,715.196387
-50.0,50,719.036097
-50.0,50,722.999009
-50.0,50,726.818308
-50.0,50,730.783248
-50.0,50,735.001072
-50.0,50,739.140158
-50.0,50,743.147292
-50.0,50,747.282759
-50.0,50,751.51218
-50.0,50,755.657496
-50.0,50,759.787853
-50.0,50,764.037996
-50.0,50,768.370727
-50.0,50,772.830022
-50.0,50,777.483947
-50.0,50,781.686756
-50.0,50,785.656651
-50.0,50,789.89949
0.0,50,794.307535
-50.0,50,799.036719
-50.0,50,803.749475
-50.0,50,807.957747
-50.0,50,811.549621
-50.0,50,815.586579
-50.0,50,819.589416
-50.0,50,823.838902
-50.0,50,827.868981
-50.0,50,832.393734
-50.0,50,836.417519
-50.0,50,840.541499
-50.0,50,844.518012
-50.0,50,848.670235
-50.0,50,852.287918
-50.0,50,856.129874
-50.0,50,860.381746
-50.0,50,864.058603
-50.0,50,868.011969
-50.0,50,872.043342
-50.0,50,875.780113
-50.0,50,879.543926
-50.0,50,883.15816
-50.0,50,886.955686
-50.0,50,891.098055
-50.0,50,895.121178
-50.0,50,898.873435
-50.0,50,902.865253
-50.0,50,903.256944
-50.0,50,903.650166
-50.0,50,904.245062
-50.0,50,904.597386
-50.0,50,904.944482
-50.0,50,905.279826
-50.0,50,905.625195
-50.0,50,905.976054
-50.0,50,906.296149
-50.0,50,906.674158
-50.0,50,910.794016
-50.0,50,914.75675
-50.0,50,918.872911
-50.0,50,922.933487
-50.0,50,926.884939
-50.0,50,931.070274
0.0,50,935.162678
-50.0,50,938.843824
-50.0,50,942.878041
-50.0,50,946.668392
-50.0,50,950.756003
-50.0,50,954.840252
-50.0,50,959.021951
-50.0,50,963.353909
-50.0,50,967.387806
-50.0,50,971.418532
-50.0,50,975.564242
-50.0,50,979.566939
-50.0,50,983.510952
-50.0,50,987.628638
-50.0,50,991.619835
-50.0,50,995.312423
-50.0,50,999.394807
-50.0,50,1004.298813
-50.0,50,1008.589746
-50.0,50,1013.065001
-50.0,50,1017.202488
-50.0,50,1021.600844
-50.0,50,1026.813869
-50.0,50,1034.215874
-50.0,50,1043.553403
-50.0,50,1050.798241
-50.0,50,1056.569588
-50.0,50,1061.936562
-50.0,50,1067.56789
-50.0,50,1073.551947
-50.0,50,1079.560729
-50.0,50,1085.070827
-50.0,50,1091.04331
-50.0,50,1096.532297
-50.0,50,1102.496363
-50.0,50,1108.148546
-50.0,50,1113.633653
-50.0,50,1118.777428
-50.0,50,1123.799717
-50.0,50,1129.245898
-50.0,50,1134.642956
-50.0,50,1140.279013
-50.0,50,1145.51938
-50.0,50,1150.890002
-50.0,50,1151.350246
-50.0,50,1151.825825
-50.0,50,1152.271362
-50.0,50,1152.776504
-50.0,50,1153.230662
-50.0,50,1153.753216
-50.0,50,1154.234757
0.0,50,1154.941903
-50.0,50,1155.366514
-50.0,50,1155.85409
-50.0,50,1161.333565
-50.0,50,1166.822723
-50.0,50,1172.233785
-50.0,50,1177.173625
-50.0,50,1182.491675
-50.0,50,1187.606444
-50.0,50,1192.9282
-50.0,50,1198.303664
-50.0,50,1203.500257
-50.0,50,1208.59731
-50.0,50,1213.91788
-50.0,50,1219.365921
-50.0,50,1224.703742
-50.0,50,1230.179048
-50.0,50,1235.491924
-50.0,50,1240.87793
-50.0,50,1245.829813
-50.0,50,1251.149218
-50.0,50,1256.634395
-50.0,50,1262.271142
0.0,50,1268.46482
-50.0,50,1273.996269
-50.0,50,1279.10202
-50.0,50,1284.445269
-50.0,50,1290.044804
-50.0,50,1295.243876
-50.0,50,1300.705469
-50.0,50,1306.050813
-50.0,50,1310.953282
-50.0,50,1316.315913
-50.0,50,1321.894125
-50.0,50,1327.357378
-50.0,50,1332.856127
-50.0,50,1338.252501
-50.0,50,1343.777746
-50.0,50,1349.08872
-50.0,50,1354.339859
-50.0,50,1359.815381
-50.0,50,1365.352514
-50.0,50,1370.894885
-50.0,50,1377.507132
-50.0,50,1383.248015
-50.0,50,1389.035578
-46.0,50,1394.489486
-50.0,50,1400.03366
-50.0,50,1405.634359
-50.0,50,1411.251612
-50.0,50,1416.811084
-50.0,50,1422.153388
-50.0,50,1427.688566
-50.0,50,1428.167973
-50.0,50,1428.723509
-50.0,50,1429.169889
-50.0,50,1429.647389
-50.0,50,1430.199897
-50.0,50,1430.668118
-50.0,50,1431.117199
-50.0,50,1431.618744
-50.0,50,1432.024198
-50.0,50,1433.184162
-50.0,50,1438.607607
-50.0,50,1444.070452
-50.0,50,1449.631097
-50.0,50,1454.984466
-50.0,50,1460.447003
-50.0,50,1465.831758
-50.0,50,1470.977093
-50.0,50,1476.443774
-50.0,50,1481.474553
-50.0,50,1486.825362
-50.0,50,1492.075239
-50.0,50,1497.691203
-50.0,50,1502.963794
-50.0,50,1508.275381
-50.0,50,1513.727765
-50.0,50,1519.005824
-50.0,50,1524.430427
-41.0,50,1529.974992
-50.0,50,1535.415801
-50.0,50,1540.855734
-50.0,50,1545.958281
0.0,50,1551.347059
-50.0,50,1557.047803
-50.0,50,1562.698347
-50.0,50,1568.323932
-50.0,50,1573.694522
-50.0,50,1579.039353
-50.0,50,1584.010685
-50.0,50,1589.444573
-50.0,50,1594.861778
-50.0,50,1600.499637
-50.0,50,1605.899407
-50.0,50,1611.408712
-50.0,50,1616.877272
-50.0,50,1622.227803
-50.0,50,1627.642196
-50.0,50,1632.938926
-50.0,50,1638.38516
-50.0,50,1644.125334
-50.0,50,1649.418633
-50.0,50,1654.52311
-50.0,50,1660.025771
-50.0,50,1665.515738
-50.0,50,1670.615997
-50.0,50,1676.450846
-50.0,50,1681.849135
-50.0,50,1687.311153
-50.0,50,1693.307989
-50.0,50,1699.951015
-50.0,50,1705.884546
-50.0,50,1706.386628
-50.0,50,1707.008825
-50.0,50,1707.450933
-50.0,50,1707.896511
-50.0,50,1708.363094
-50.0,50,1708.796684
-50.0,50,1709.20871
-50.0,50,1709.664574
-50.0,50,1710.118341
-50.0,50,1711.01821
0.0,50,1716.130508
0.0,50,1721.021135
-50.0,50,1726.279127
-50.0,50,1731.142154
-50.0,50,1736.356162
-50.0,50,1742.396485
-50.0,50,1748.33801
-50.0,50,1754.33875
-50.0,50,1760.376636
-50.0,50,1765.895477
-50.0,50,1771.626673
-50.0,50,1777.192187
-50.0,50,1783.145003
-50.0,50,1788.745458
-50.0,50,1794.311908
0.0,50,1799.677496
-50.0,50,1805.139938
-50.0,50,1810.58476
-50.0,50,1816.059581
-50.0,50,1821.471335
-50.0,50,1826.849378
-50.0,50,1832.193352
-50.0,50,1837.837454
-50.0,50,1843.405377
-50.0,50,1848.789838
-50.0,50,1853.862368
-50.0,50,1858.865368
-50.0,50,1864.118236
-50.0,50,1869.335557
-50.0,50,1874.911677
-50.0,50,1880.253968
-11.0,50,1885.599018
