# {"t_start": 1618171221.7635615, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,5.099762
-50.0,50,10.178513
-50.0,50,14.164079
-50.0,50,18.593502
-50.0,50,23.408945
-50.0,50,28.679546
-50.0,50,33.521332
-50.0,50,38.62272
-50.0,50,43.915407
-50.0,50,49.753797
-50.0,50,55.06781
-50.0,50,60.625587
-50.0,50,66.134469
-50.0,50,71.69024
0.0,50,77.110498
-50.0,50,82.418602
-50.0,50,87.873904
-50.0,50,93.159487
-50.0,50,99.147807
-48.0,50,104.705058
-50.0,50,110.120466
-50.0,50,115.616834
-50.0,50,120.282928
-50.0,50,124.950222
-50.0,50,129.2908
-50.0,50,133.757628
-50.0,50,138.143385
-50.0,50,142.184879
-50.0,50,146.687061
-50.0,50,151.125063
-50.0,50,155.360558
-50.0,50,159.640075
-50.0,50,163.99499
0.0,50,168.328511
-50.0,50,172.719019
-50.0,50,177.357534
-50.0,50,181.350919
-50.0,50,185.443372
-50.0,50,189.617227
-50.0,50,193.70416
-50.0,50,197.783908
-50.0,50,202.004976
-50.0,50,206.025362
-50.0,50,210.534996
-50.0,50,214.38397
-50.0,50,218.566692
-50.0,50,222.867098
-50.0,50,227.031672
-50.0,50,231.319539
-50.0,50,235.891971
-50.0,50,240.149647
-50.0,50,240.431637
-50.0,50,240.699451
-50.0,50,240.982139
-50.0,50,241.236355
-50.0,50,241.540974
-50.0,50,241.846633
0.0,50,242.108489
0.0,50,242.417697
-50.0,50,242.728261
-50.0,50,243.26983
-50.0,50,247.359714
-50.0,50,251.522838
-50.0,50,255.872087
-50.0,50,260.117857
-50.0,50,264.258558
-50.0,50,268.468958
-50.0,50,272.498527
-50.0,50,276.714888
-50.0,50,281.031953
-50.0,50,285.346074
-50.0,50,289.544594
-50.0,50,293.610963
-50.0,50,297.630286
-50.0,50,301.690064
-50.0,50,305.860937
0.0,50,309.996189
-50.0,50,314.208477
-50.0,50,318.401992
-50.0,50,322.513608
-50.0,50,326.568197
-50.0,50,330.48472
0.0,50,334.292032
-50.0,50,338.352295
-50.0,50,342.407806
-50.0,50,346.717599
-50.0,50,350.888714
-50.0,50,354.752956
-50.0,50,358.607153
-50.0,50,363.222069
-50.0,50,367.072885
-50.0,50,371.106932
-50.0,50,375.066212
-50.0,50,379.059624
0.0,50,383.111188
-50.0,50,387.037169
-50.0,50,391.257939
-50.0,50,396.156154
-50.0,50,401.628797
-50.0,50,408.705542
-50.0,50,414.059183
-50.0,50,419.72311
-50.0,50,425.572111
-50.0,50,432.204294
-50.0,50,438.405264
-50.0,50,444.048413
-50.0,50,449.880647
-50.0,50,453.811732
-50.0,50,457.519821
-50.0,50,461.309443
-50.0,50,465.549696
-50.0,50,465.830956
-50.0,50,466.113606
-50.0,50,466.382923
-50.0,50,466.755889
-50.0,50,467.098278
-50.0,50,467.464748
-50.0,50,467.815064
-50.0,50,468.163659
-50.0,50,468.511044
-50.0,50,469.059484
-50.0,50,472.775665
-50.0,50,476.738522
-50.0,50,481.037482
-50.0,50,485.075699
0.0,50,489.066456
-50.0,50,493.207551
-50.0,50,497.644582
-50.0,50,501.770499
-50.0,50,505.757177
-50.0,50,509.575258
-50.0,50,513.769087
-50.0,50,518.016773
-50.0,50,522.094645
-50.0,50,526.046988
-50.0,50,529.920668
-50.0,50,534.243021
-50.0,50,538.321228
-50.0,50,542.445456
-50.0,50,546.247016
-50.0,50,550.060148
-50.0,50,554.05936
-50.0,50,558.220255
-50.0,50,562.15235
-50.0,50,566.283353
-50.0,50,570.599777
-50.0,50,574.667631
-50.0,50,578.713875
-50.0,50,583.077617
-50.0,50,587.162317
-50.0,50,591.24397
-50.0,50,595.22987
-50.0,50,599.184819
-50.0,50,603.241096
-50.0,50,607.062322
-50.0,50,611.109138
-50.0,50,614.812894
-50.0,50,618.90868
-50.0,50,623.11729
-50.0,50,627.311492
-50.0,50,631.081096
-50.0,50,635.090527
-50.0,50,639.234008
-50.0,50,643.288321
-50.0,50,647.12576
-50.0,50,651.085342
-50.0,50,655.535721
-50.0,50,659.664664
-50.0,50,663.489046
-50.0,50,667.356141
-50.0,50,671.306847
-50.0,50,671.667747
-50.0,50,672.039459
-50.0,50,672.406266
-50.0,50,672.756862
-50.0,50,673.102979
-50.0,50,673.441103
-50.0,50,673.773688
-50.0,50,674.189623
-50.0,50,674.505408
-50.0,50,674.92963
-50.0,50,678.603567
-50.0,50,682.386838
-50.0,50,686.46701
-50.0,50,690.513809
-50.0,50,694.383234
-50.0,50,698.352025
-50.0,50,702.136755
-50.0,50,706.174758
-50.0,50,710.360683
-50.0,50,714.490735
-50.0,50,718.482665
-50.0,50,722.614453
-50.0,50,726.837126
-50.0,50,730.995478
-50.0,50,735.137413
-50.0,50,739.396099
-50.0,50,743.830222
-50.0,50,748.145962
-50.0,50,752.785304
-50.0,50,757.015909
-50.0,50,760.998936
-50.0,50,765.188208
-50.0,50,769.639
-50.0,50,774.328216
-50.0,50,779.107273
-50.0,50,783.285256
-50.0,50,786.890135
-50.0,50,790.914645
-50.0,50,794.930727
-50.0,50,799.198141
-50.0,50,803.196932
-50.0,50,807.695386
-50.0,50,811.762168
-50.0,50,815.898598
-50.0,50,819.839222
-50.0,50,824.007438
-50.0,50,827.638279
-50.0,50,831.462806
-50.0,50,835.712469
-50.0,50,839.393268
-50.0,50,843.353276
-50.0,50,847.370628
-36.0,50,851.143541
-50.0,50,854.839768
-50.0,50,858.493449
-50.0,50,862.310518
-50.0,50,866.389468
-50.0,50,870.443759
-50.0,50,874.236907
-50.0,50,878.192168
-50.0,50,878.57336
-50.0,50,878.950928
-50.0,50,879.306767
-50.0,50,879.640512
-50.0,50,879.989143
-50.0,50,880.316861
-50.0,50,880.665011
0.0,50,881.09468
-50.0,50,881.437104
-50.0,50,882.018222
-50.0,50,886.097003
-50.0,50,890.077755
-50.0,50,894.207003
-50.0,50,898.260123
-50.0,50,902.194874
-50.0,50,906.435205
-50.0,50,910.4849
-50.0,50,914.16798
-50.0,50,918.227945
-50.0,50,922.007537
-50.0,50,926.108722
-50.0,50,930.160994
-50.0,50,934.348488
-22.0,50,938.677935
-50.0,50,942.751059
-50.0,50,946.780209
-50.0,50,950.932223
-50.0,50,954.899033
-50.0,50,958.850235
-50.0,50,962.968649
-50.0,50,966.974455
-25.0,50,970.722538
-50.0,50,974.73904
-50.0,50,979.637293
-50.0,50,983.972478
-50.0,50,988.408134
-50.0,50,992.558696
0.0,50,996.933169
-50.0,50,1001.997014
-50.0,50,1009.696303
-50.0,50,1018.738173
-50.0,50,1026.186502
-50.0,50,1031.922486
-50.0,50,1037.301791
-50.0,50,1042.900303
-50.0,50,1048.919852
-50.0,50,1054.849822
-50.0,50,1060.41473
-50.0,50,1066.394317
-50.0,50,1071.947683
-50.0,50,1077.936848
-50.0,50,1083.513543
-50.0,50,1088.989859
-50.0,50,1094.152359
-50.0,50,1099.166545
-50.0,50,1104.622921
-50.0,50,1109.887552
-50.0,50,1115.636861
-50.0,50,1120.947064
-50.0,50,1126.194408
-50.0,50,1126.640458
-50.0,50,1127.074997
-50.0,50,1127.485297
-50.0,50,1127.923306
-50.0,50,1128.310804
