# {"t_start": 1618171197.100356, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,999.392144
-50.0,50,1004.231542
-50.0,50,1008.614414
-50.0,50,1013.084743
-50.0,50,1017.263722
-50.0,50,1021.581631
-50.0,50,1026.611749
-50.0,50,1034.280164
-50.0,50,1043.587215
-50.0,50,1050.864749
-50.0,50,1056.591763
-50.0,50,1062.002378
-50.0,50,1067.598428
-50.0,50,1073.494613
-50.0,50,1079.549987
-50.0,50,1085.089037
-50.0,50,1091.057332
-50.0,50,1096.54542
-50.0,50,1102.519492
-50.0,50,1108.16078
-50.0,50,1113.675718
-50.0,50,1118.769936
-50.0,50,1123.781343
-50.0,50,1129.253519
-50.0,50,1134.525846
-50.0,50,1140.305865
-50.0,50,1145.558802
-50.0,50,1150.826876
-50.0,50,1151.241188
-50.0,50,1151.675123
-50.0,50,1152.259374
-50.0,50,1152.676825
-50.0,50,1153.110099
-50.0,50,1153.549496
-50.0,50,1154.021421
-50.0,50,1154.467962
-50.0,50,1154.856505
-50.0,50,1155.806611
-50.0,50,1161.373492
-50.0,50,1166.788579
-50.0,50,1172.253032
-50.0,50,1177.188614
-50.0,50,1182.485871
-50.0,50,1187.581494
-50.0,50,1192.937015
-50.0,50,1198.323456
-50.0,50,1203.521404
-50.0,50,1208.601746
-50.0,50,1213.967968
-50.0,50,1219.434418
-50.0,50,1224.706704
-50.0,50,1230.143527
-50.0,50,1235.458927
-50.0,50,1240.892858
-50.0,50,1245.84261
-50.0,50,1251.155423
-50.0,50,1256.58286
-50.0,50,1262.258586
-50.0,50,1268.604196
-50.0,50,1273.998518
-50.0,50,1279.099875
-50.0,50,1284.445123
-50.0,50,1290.055058
-26.0,50,1295.297189
-50.0,50,1300.749615
-50.0,50,1306.090048
-50.0,50,1310.977497
-50.0,50,1316.311271
-50.0,50,1321.990505
-50.0,50,1327.349008
-50.0,50,1332.852441
-50.0,50,1338.314723
-50.0,50,1343.795302
-50.0,50,1349.106888
-50.0,50,1354.348045
-50.0,50,1359.841236
-50.0,50,1365.367807
-50.0,50,1370.880107
-50.0,50,1377.546106
-50.0,50,1383.335642
-50.0,50,1388.975969
-50.0,50,1394.479164
-50.0,50,1400.036815
-50.0,50,1405.647048
-50.0,50,1411.223291
-50.0,50,1416.839748
0.0,50,1422.19067
-50.0,50,1427.685081
-50.0,50,1428.16837
-50.0,50,1428.64389
-50.0,50,1429.079068
-50.0,50,1429.539389
-50.0,50,1430.018776
-50.0,50,1430.516325
-50.0,50,1430.978373
-50.0,50,1431.413125
-50.0,50,1431.878063
-50.0,50,1433.141525
-50.0,50,1438.542895
-50.0,50,1444.101721
0.0,50,1449.564727
-50.0,50,1455.010354
-50.0,50,1460.453725
-50.0,50,1465.834008
-50.0,50,1470.86879
-50.0,50,1476.456448
-50.0,50,1481.46924
-50.0,50,1486.829787
-50.0,50,1492.093846
-50.0,50,1497.720262
-50.0,50,1503.007917
-50.0,50,1508.299822
-50.0,50,1513.6696
-50.0,50,1519.001146
-50.0,50,1524.400552
-50.0,50,1529.919142
-50.0,50,1535.4679
-50.0,50,1540.879868
0.0,50,1545.992575
-50.0,50,1551.348295
-50.0,50,1557.062816
-50.0,50,1562.567307
-50.0,50,1568.291406
-50.0,50,1573.623411
-50.0,50,1579.021609
-50.0,50,1584.028491
-50.0,50,1589.455925
-50.0,50,1594.959826
-50.0,50,1600.53744
-50.0,50,1605.996544
-50.0,50,1611.385482
-50.0,50,1616.878115
-50.0,50,1622.22219
0.0,50,1627.617914
-50.0,50,1632.948476
-50.0,50,1638.375533
-50.0,50,1644.135546
-50.0,50,1649.458959
-50.0,50,1654.512963
-50.0,50,1659.992476
-50.0,50,1665.596722
-50.0,50,1670.653312
-50.0,50,1676.351744
-50.0,50,1681.840436
-50.0,50,1687.279962
-50.0,50,1693.296963
-50.0,50,1699.933432
-50.0,50,1705.910516
-50.0,50,1706.469418
-50.0,50,1707.062521
0.0,50,1707.578785
-50.0,50,1708.120997
-50.0,50,1708.560931
-50.0,50,1709.056183
-50.0,50,1709.624326
-50.0,50,1710.181758
-50.0,50,1710.574332
-50.0,50,1711.017252
-50.0,50,1716.157692
-50.0,50,1721.112038
-50.0,50,1726.343423
