# {"t_start": 1618171197.348432, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,29.550808
0.0,50,34.608787
-50.0,50,38.622666
-50.0,50,43.02915
-50.0,50,47.828831
-50.0,50,53.065431
-50.0,50,57.887162
-50.0,50,63.029133
0.0,50,68.401711
-50.0,50,74.211112
-50.0,50,79.485254
-50.0,50,85.052511
-50.0,50,90.565632
-50.0,50,96.108308
-50.0,50,101.500884
-50.0,50,106.824118
-50.0,50,112.276291
-50.0,50,117.62596
-50.0,50,123.560172
-50.0,50,129.142862
-50.0,50,134.530583
0.0,50,140.039333
-50.0,50,144.697087
-50.0,50,149.349042
-50.0,50,153.724169
-50.0,50,158.219323
-50.0,50,162.53369
-50.0,50,166.601727
-50.0,50,171.100865
-50.0,50,175.530686
-50.0,50,179.788791
-50.0,50,184.040437
-50.0,50,188.39888
-50.0,50,192.737676
-50.0,50,197.170628
-50.0,50,201.751943
-50.0,50,205.760224
-50.0,50,209.867557
-50.0,50,214.061568
-50.0,50,218.121142
-50.0,50,222.189785
-50.0,50,226.418463
-50.0,50,230.436656
-50.0,50,234.902108
-50.0,50,238.814716
-50.0,50,242.998418
-50.0,50,247.290901
-50.0,50,251.439057
-50.0,50,255.696558
-50.0,50,260.340839
-50.0,50,264.554726
-50.0,50,264.863307
-50.0,50,265.166819
-50.0,50,265.463267
-50.0,50,265.750606
0.0,50,266.0287
-50.0,50,266.325974
-50.0,50,266.589702
-50.0,50,266.875909
-50.0,50,267.154796
-50.0,50,267.683072
-50.0,50,271.780338
-50.0,50,275.921437
-50.0,50,280.259095
-50.0,50,284.507788
-50.0,50,288.702851
0.0,50,292.902853
0.0,50,296.924389
-50.0,50,301.127178
-50.0,50,305.435864
-50.0,50,309.774769
-50.0,50,314.030963
-50.0,50,318.025902
-50.0,50,322.058015
-50.0,50,326.11006
-50.0,50,330.266782
-50.0,50,334.423212
-50.0,50,338.609622
-50.0,50,342.80592
-50.0,50,346.912592
-50.0,50,350.96529
-50.0,50,354.912876
-50.0,50,358.694193
-50.0,50,362.764409
-50.0,50,366.827017
-50.0,50,371.096757
-50.0,50,375.277714
-50.0,50,379.168234
-50.0,50,383.119249
-50.0,50,387.617244
-50.0,50,391.485188
-50.0,50,395.573718
-50.0,50,399.485968
-50.0,50,403.527257
-50.0,50,407.526985
-50.0,50,411.465645
-50.0,50,415.666805
-50.0,50,420.578057
-50.0,50,426.139179
-50.0,50,433.075695
0.0,50,438.484057
-50.0,50,444.160278
-50.0,50,450.023422
-50.0,50,456.60299
-50.0,50,462.739009
-50.0,50,468.364897
0.0,50,474.279745
-50.0,50,478.241014
-50.0,50,481.919281
-50.0,50,485.70114
-50.0,50,489.995214
-50.0,50,490.385796
-50.0,50,490.659102
-50.0,50,490.978853
-50.0,50,491.325526
-50.0,50,491.675768
-50.0,50,492.028436
-50.0,50,492.37507
-50.0,50,492.70786
-50.0,50,493.071132
-50.0,50,493.432107
-50.0,50,497.173771
-50.0,50,501.158965
-50.0,50,505.453485
-50.0,50,509.498737
-50.0,50,513.496695
-50.0,50,517.622814
-50.0,50,522.070984
-50.0,50,526.183698
-50.0,50,530.134768
-50.0,50,533.966873
0.0,50,538.190088
-50.0,50,542.449734
-50.0,50,546.483006
-50.0,50,550.451484
-50.0,50,554.37009
-50.0,50,558.662279
-50.0,50,562.758105
-50.0,50,566.830532
-50.0,50,570.664065
-50.0,50,574.482195
-50.0,50,578.464134
-50.0,50,582.651753
-50.0,50,586.578085
-50.0,50,590.720572
-50.0,50,595.008766
-50.0,50,599.086336
-50.0,50,603.131277
-50.0,50,607.510013
-50.0,50,611.584645
0.0,50,615.644926
-50.0,50,619.664293
-50.0,50,623.606203
-50.0,50,627.665294
-50.0,50,631.464907
-50.0,50,635.519119
-50.0,50,639.182061
-50.0,50,643.313854
-50.0,50,647.527251
0.0,50,651.716569
-50.0,50,655.517093
-50.0,50,659.500922
-50.0,50,663.651144
-50.0,50,667.64818
-50.0,50,671.551656
-50.0,50,675.523626
-50.0,50,679.952946
-50.0,50,684.152842
-50.0,50,687.915334
-50.0,50,691.8186
-50.0,50,695.697808
-50.0,50,696.025507
-50.0,50,696.425365
-50.0,50,696.766067
-50.0,50,697.135597
-50.0,50,697.481189
-50.0,50,697.812796
-50.0,50,698.158378
-50.0,50,698.511302
-50.0,50,698.861557
-50.0,50,699.36757
-50.0,50,703.047958
-50.0,50,706.812324
-50.0,50,710.887706
-50.0,50,714.916452
-50.0,50,718.804048
-50.0,50,722.742709
-50.0,50,726.565504
-50.0,50,730.528524
-50.0,50,734.781913
-50.0,50,738.898985
-50.0,50,742.895154
-50.0,50,747.01804
-50.0,50,751.258792
-50.0,50,755.423214
-50.0,50,759.559172
-50.0,50,763.791982
-50.0,50,768.180208
-50.0,50,772.566069
-50.0,50,777.21175
-50.0,50,781.431768
0.0,50,785.443768
-50.0,50,789.631023
-50.0,50,794.03041
-50.0,50,798.754879
-50.0,50,803.50403
-50.0,50,807.700637
-50.0,50,811.318577
-50.0,50,815.33397
-50.0,50,819.347434
-50.0,50,823.57104
-50.0,50,827.631749
-50.0,50,832.058238
-50.0,50,836.188576
-50.0,50,840.281644
-50.0,50,844.246526
-50.0,50,848.425046
-50.0,50,852.106461
-50.0,50,855.862007
-50.0,50,860.106814
-50.0,50,863.827743
-50.0,50,867.779753
-50.0,50,871.796681
-21.0,50,875.573062
-50.0,50,879.243958
-50.0,50,882.908316
-50.0,50,886.697712
-50.0,50,890.839134
-50.0,50,894.859957
-50.0,50,898.6386
-50.0,50,902.640902
-50.0,50,903.05741
-50.0,50,903.461727
-50.0,50,903.831583
-50.0,50,904.173205
-50.0,50,904.546164
-50.0,50,904.913994
-50.0,50,905.296719
-50.0,50,905.662504
-50.0,50,906.026512
-50.0,50,906.450786
-50.0,50,910.556586
-50.0,50,914.511736
-50.0,50,918.581928
-50.0,50,922.663377
-50.0,50,926.619423
-50.0,50,930.865045
-50.0,50,934.913908
-50.0,50,938.613627
-50.0,50,942.639778
-50.0,50,946.436162
-50.0,50,950.546457
-50.0,50,954.566802
-50.0,50,958.779257
-50.0,50,963.088993
-50.0,50,967.125987
-50.0,50,971.175461
-50.0,50,975.324372
-50.0,50,979.318481
-50.0,50,983.332932
-50.0,50,987.329839
-50.0,50,991.376838
-50.0,50,995.106932
-50.0,50,999.15639
-50.0,50,1004.022929
-50.0,50,1008.395653
-50.0,50,1012.840656
-50.0,50,1016.967741
-50.0,50,1021.318752
-50.0,50,1026.373583
-50.0,50,1033.969863
-50.0,50,1043.092299
-50.0,50,1050.532069
-50.0,50,1056.377551
-50.0,50,1061.655104
-50.0,50,1067.344514
-50.0,50,1073.329153
-50.0,50,1079.311782
-50.0,50,1084.847366
-50.0,50,1090.783443
-50.0,50,1096.273354
-50.0,50,1102.301596
-50.0,50,1107.975154
-50.0,50,1113.446875
-50.0,50,1118.531098
-50.0,50,1123.558757
-50.0,50,1128.958978
-50.0,50,1134.383378
-50.0,50,1140.025115
-50.0,50,1145.279839
-50.0,50,1150.636884
-50.0,50,1151.089848
