epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
60,0.8205466,0.18844874,0.21650197,0.22741868,610.0,-18.874474,0.5,3050.0,0.3675
61,0.8205963,0.18818611,0.21641637,0.22738741,620.0,-15.83617,0.57500005,3100.0,0.3725
62,0.8204903,0.18864857,0.21633214,0.22755471,630.0,-20.618443,0.45,3150.0,0.3425
63,0.82049316,0.18815084,0.21640854,0.22749594,640.0,-20.082012,0.4375,3200.0,0.3775
64,0.8203985,0.18869407,0.21638674,0.22753762,650.0,-15.221107,0.5875,3250.0,0.345
65,0.8202801,0.18963425,0.21633357,0.22767986,660.0,-16.40002,0.55,3300.0,0.3425
66,0.8201732,0.19052725,0.21617918,0.22786276,670.0,-17.216541,0.5,3350.0,0.33249998
67,0.81996506,0.19139355,0.21612139,0.22798103,680.0,-14.56994,0.575,3400.0,0.34750003
68,0.81980866,0.19182707,0.21603087,0.2280326,690.0,-19.513721,0.46250004,3450.0,0.32
69,0.81968874,0.19216223,0.21596609,0.22813815,700.0,-17.363853,0.53749996,3500.0,0.365
70,0.81968576,0.19208033,0.21605414,0.22813798,710.0,-16.646854,0.525,3550.0,0.3625
71,0.8196735,0.19174075,0.21601145,0.22804932,720.0,-20.769398,0.46249998,3600.0,0.32999998
72,0.81970733,0.19156353,0.21603242,0.22802004,730.0,-16.224817,0.58750004,3650.0,0.3625
73,0.8196478,0.19148378,0.21587974,0.22806571,740.0,-16.151663,0.57500005,3700.0,0.375
74,0.81958175,0.19128089,0.21583769,0.22801004,750.0,-16.97623,0.575,3750.0,0.39249998
75,0.8195545,0.19133635,0.21566336,0.22803967,760.0,-17.568506,0.5625,3800.0,0.375
76,0.81952566,0.19185285,0.21558236,0.22811602,770.0,-16.081419,0.55,3850.0,0.36
77,0.81939006,0.19206615,0.21548007,0.2282226,780.0,-20.78475,0.4375,3900.0,0.3575
78,0.8193802,0.19248624,0.215489,0.2282759,790.0,-19.080917,0.4875,3950.0,0.32
79,0.8192957,0.19230883,0.2155528,0.22828694,800.0,-17.277142,0.5625,4000.0,0.31
