# {"t_start": 1618171197.1027122, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,29.795326
-50.0,50,34.847618
-50.0,50,38.868858
-50.0,50,43.272651
-50.0,50,48.095753
-50.0,50,53.285494
-50.0,50,58.164652
-50.0,50,63.254458
-50.0,50,68.579793
-50.0,50,74.404802
-50.0,50,79.77043
-50.0,50,85.31019
-50.0,50,90.808422
0.0,50,96.33482
-50.0,50,101.788979
-50.0,50,107.052465
-50.0,50,112.509445
-50.0,50,117.864102
-50.0,50,123.806481
-50.0,50,129.343276
-50.0,50,134.778577
-50.0,50,140.27149
-50.0,50,144.973405
-50.0,50,149.582235
-50.0,50,153.98464
0.0,50,158.442484
-50.0,50,162.766823
-50.0,50,166.871143
-50.0,50,171.312973
-50.0,50,175.78095
-50.0,50,180.030223
-50.0,50,184.290197
-50.0,50,188.64799
-50.0,50,192.995871
-50.0,50,197.437744
-50.0,50,202.023655
-50.0,50,206.009008
-50.0,50,210.086884
-50.0,50,214.277115
-50.0,50,218.421927
-50.0,50,222.441446
-50.0,50,226.682012
-50.0,50,230.676227
-50.0,50,235.120339
-50.0,50,239.039539
-50.0,50,243.270671
-50.0,50,247.525109
-50.0,50,251.693541
-50.0,50,255.988225
-50.0,50,260.57856
-50.0,50,264.80874
-50.0,50,265.078177
-50.0,50,265.372426
-50.0,50,265.696078
-50.0,50,265.985943
-50.0,50,266.286057
-50.0,50,266.571832
-50.0,50,266.843181
-50.0,50,267.151491
-50.0,50,267.457945
-50.0,50,267.927224
-50.0,50,272.038263
-50.0,50,276.165483
-50.0,50,280.481997
-50.0,50,284.777081
-50.0,50,288.930579
-50.0,50,293.118189
-50.0,50,297.171937
-50.0,50,301.360583
-50.0,50,305.675236
-50.0,50,310.041552
-50.0,50,314.293639
-50.0,50,318.278035
-50.0,50,322.295878
-50.0,50,326.380847
-50.0,50,330.530525
-50.0,50,334.703402
-50.0,50,338.880174
-50.0,50,343.061142
-50.0,50,347.165605
-50.0,50,351.238697
-50.0,50,355.123081
-50.0,50,358.955386
-50.0,50,363.024852
-50.0,50,367.094197
-50.0,50,371.347025
-50.0,50,375.554704
-50.0,50,379.412894
-50.0,50,383.285956
-50.0,50,387.875547
-50.0,50,391.742445
-50.0,50,395.759522
-50.0,50,399.749865
-50.0,50,403.760518
-50.0,50,407.796701
-50.0,50,411.710085
-50.0,50,416.029153
-50.0,50,420.783961
-50.0,50,426.334391
-50.0,50,433.292548
-50.0,50,438.727338
-50.0,50,444.397344
-50.0,50,450.237415
-50.0,50,456.788673
-50.0,50,463.143279
-50.0,50,468.732924
-50.0,50,474.539114
0.0,50,478.439232
-50.0,50,482.165223
-50.0,50,485.956507
-50.0,50,490.227107
-50.0,50,490.493622
-50.0,50,490.796304
-50.0,50,491.106308
-50.0,50,491.48477
-50.0,50,491.861394
-50.0,50,492.227811
-50.0,50,492.558882
-50.0,50,492.914733
-50.0,50,493.25934
-50.0,50,493.687021
0.0,50,497.476543
-50.0,50,501.383763
-50.0,50,505.714414
-50.0,50,509.749668
-50.0,50,513.713098
-50.0,50,517.865098
-50.0,50,522.321159
-50.0,50,526.394569
0.0,50,530.380075
-50.0,50,534.222053
-50.0,50,538.413382
-50.0,50,542.686579
-50.0,50,546.724429
-50.0,50,550.698479
-50.0,50,554.58396
-50.0,50,558.913035
-50.0,50,562.951919
-50.0,50,567.112081
-50.0,50,570.933577
-50.0,50,574.724416
-50.0,50,578.714454
-50.0,50,582.866552
-50.0,50,586.846856
-50.0,50,590.93941
-50.0,50,595.247018
-50.0,50,599.34058
0.0,50,603.365235
-50.0,50,607.726146
-50.0,50,611.813485
-50.0,50,615.911355
-50.0,50,619.886228
-50.0,50,623.865788
-50.0,50,627.903657
-50.0,50,631.716428
-50.0,50,635.754331
-50.0,50,639.48864
-50.0,50,643.590779
-50.0,50,647.767578
-50.0,50,651.981448
-50.0,50,655.74476
-50.0,50,659.743639
-50.0,50,663.909871
-50.0,50,667.894403
-50.0,50,671.791704
-50.0,50,675.764236
-50.0,50,680.186295
-50.0,50,684.372115
-50.0,50,688.176972
-50.0,50,692.042087
-50.0,50,695.9369
-50.0,50,696.29959
-50.0,50,696.672051
0.0,50,697.033061
-50.0,50,697.423363
-50.0,50,697.765885
-50.0,50,698.12046
-50.0,50,698.505107
-50.0,50,698.841258
-50.0,50,699.194183
-50.0,50,699.611634
-50.0,50,703.280281
-50.0,50,707.056628
-50.0,50,711.110835
-50.0,50,715.168049
-50.0,50,719.031786
-50.0,50,722.958028
-50.0,50,726.774783
-50.0,50,730.814309
-50.0,50,735.017146
-50.0,50,739.145385
-50.0,50,743.125301
-50.0,50,747.266996
-50.0,50,751.491695
-50.0,50,755.661672
-50.0,50,759.771804
-50.0,50,764.050535
-50.0,50,768.426299
-50.0,50,772.81642
-50.0,50,777.424188
-50.0,50,781.67768
-50.0,50,785.684987
-50.0,50,789.909423
-50.0,50,794.335962
-50.0,50,798.968267
-50.0,50,803.752542
-50.0,50,807.974059
-50.0,50,811.555512
-50.0,50,815.545515
-50.0,50,819.582278
-50.0,50,823.841825
-50.0,50,827.868802
-50.0,50,832.321077
-50.0,50,836.436133
0.0,50,840.532767
-50.0,50,844.519166
-50.0,50,848.681744
-50.0,50,852.317749
-50.0,50,856.117129
-50.0,50,860.373621
-50.0,50,864.061466
-50.0,50,868.025468
-50.0,50,872.09502
-50.0,50,875.761299
-50.0,50,879.497512
-50.0,50,883.156019
-50.0,50,886.931811
-50.0,50,891.081826
-50.0,50,895.12623
-50.0,50,898.866406
-50.0,50,902.870806
-50.0,50,903.251884
-50.0,50,903.623912
-50.0,50,904.17309
-50.0,50,904.530903
-50.0,50,904.896491
-50.0,50,905.243508
-50.0,50,905.626065
-50.0,50,905.942873
-50.0,50,906.311912
-50.0,50,906.700548
-50.0,50,910.789344
-50.0,50,914.750152
-50.0,50,918.830776
-50.0,50,922.893888
-50.0,50,926.858513
-50.0,50,931.076759
-50.0,50,935.159219
-50.0,50,938.849082
-50.0,50,942.873704
-50.0,50,946.652009
-50.0,50,950.771341
-50.0,50,954.84899
-50.0,50,959.019736
-50.0,50,963.353466
-50.0,50,967.417536
-50.0,50,971.417869
-50.0,50,975.648915
-50.0,50,979.543061
-50.0,50,983.543087
-50.0,50,987.586377
-50.0,50,991.613497
0.0,50,995.325651
-50.0,50,999.418448
-50.0,50,1004.239187
-50.0,50,1008.596287
-50.0,50,1013.102803
-50.0,50,1017.206584
-50.0,50,1021.574233
